Place,Type of meteorite,"Mass, g",Fell/found?,Year,Database,Coordinate 1,Coordinates 2
EET 83212,Eucrite-pmict,402.1,Found,1983,http://www.lpi.usra.edu/meteor/metbull.php?code=7854,-76.2875,157.23861
Acfer 248,L3.9/4,402,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=256,27.63556,4.02528
GRO 95523,L6,402,Found,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=11251,-85.66667,175
PCA 02004,L5,401.9,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=18186,-85.63333,-68.7
A-881421,H4,401.7,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4130,-72,26
A-881980,H4,400.9,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4689,-72,26
GRO 95527,L4,400.8,Found,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=11255,-85.66667,175
SaU 263,H5,400.8,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=23436,20.69528,57.18323
Dho 1462,L~4,400.8,Found,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=55271,18.34955,54.25013
EET 99409,L6,400.2,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=9952,-76.18333,157.16667
Roda,Diogenite,400,Fell,1871,http://www.lpi.usra.edu/meteor/metbull.php?code=22641,42.3,0.55
Santa Barbara,L4,400,Fell,1873,http://www.lpi.usra.edu/meteor/metbull.php?code=23161,-29.2,-51.86667
Madrid,L6,400,Fell,1896,http://www.lpi.usra.edu/meteor/metbull.php?code=15382,40.41667,-3.71667
Kangra Valley,H5,400,Fell,1897,http://www.lpi.usra.edu/meteor/metbull.php?code=12246,32.08333,76.3
Pickens County,H6,400,Found,1908,http://www.lpi.usra.edu/meteor/metbull.php?code=18815,34.5,-84.5
F?llinge,"Iron, IAB-sLH",400,Found,1932,http://www.lpi.usra.edu/meteor/metbull.php?code=10118,63.73333,14.85
Madiun,L6,400,Fell,1935,http://www.lpi.usra.edu/meteor/metbull.php?code=15380,-7.75,111.53333
Distrito Quebracho,H4,400,Fell,1957,http://www.lpi.usra.edu/meteor/metbull.php?code=7649,-31.88333,-60.46667
Acfer 130,H5,400,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=139,27.58333,4
DaG 411,Eucrite-pmict,400,Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=5959,27.37517,16.18417
MIL 99320,L5,400,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=16676,-83.25,157
Dho 655,H5,400,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=7412,19.11953,54.83563
Dho 958,H5,400,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=30538,19.085,54.77
Acfer 339,H5,400,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=346,27.55,4.2
JOH 03009,H6,400,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=12185,-72.89989,161.129
A-881488,L6,399.9,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4197,-72,26
La Charca,OC,399,Fell,1878,http://www.lpi.usra.edu/meteor/metbull.php?code=12394,20.66667,-101.28333
DaG 136,CO3,399,Found,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=5685,27.10133,16.0215
SaU 052,H5,399,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=23244,21.011,57.32067
SJ 029,H3,399,Found,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=49508,-25.441833,-69.871
SJ 007,H6,398.897,Found,2007,http://www.lpi.usra.edu/meteor/metbull.php?code=48684,-25.4475,-69.851
ALH 82104,L5,398.8,Found,1982,http://www.lpi.usra.edu/meteor/metbull.php?code=480,-77.05074,157.19834
GRV 022033,L5,398.7,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=46823,-72.78222,75.30222
Y-82164,H4,398.66,Found,1982,http://www.lpi.usra.edu/meteor/metbull.php?code=29358,-71.5,35.66667
HaH 152,L6,398,Found,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=11635,28.81267,13.42267
Dho 1541,H6,398,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=54613,18.6275,54.7425
JaH 635,LL5,397.8,Found,2010,http://www.lpi.usra.edu/meteor/metbull.php?code=52793,19.66889,55.7427
Y-793284,H4,397.56,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=28633,-71.5,35.66667
RC 031,H3.9,397.1,Found,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=22686,33.78333,-103.55
Nyanga Lake 001,H3,397.1,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=17966,-29.78,126.45667
MET 01056,L3.6,397.1,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=16289,-79.68333,159.75
Esperance,L/LL3.4,397,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=10052,-33.86667,121.91667
Acfer 389,H5,397,Found,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=44854,27.504,3.68167
El M?dano 133,LL6,397,Found,2011,http://www.lpi.usra.edu/meteor/metbull.php?code=56698,-24.85,-70.53333
Y-86776,LL4,396.76,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=30282,-71.5,35.66667
Shi??r 026,H4,396.56,Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=23561,18.12303,53.75478
ALHA78045,L6,396.5,Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=1661,-76.71667,159.66667
GRV 055364,Mesosiderite,396.4,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=44888,-72.99333,75.21833
EET 87575,H6,396,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=8125,-76.04045,156.11675
HaH 083,H5,396,Found,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=11566,28.66667,12.93333
Shi??r 047,L6,396,Found,2005,http://www.lpi.usra.edu/meteor/metbull.php?code=34556,18.54744,53.99428
TIL 07013,L5,396,Found,2007,http://www.lpi.usra.edu/meteor/metbull.php?code=51017,-85.16567,-94.683833
UaS 015,L6,395.66,Found,2010,http://www.lpi.usra.edu/meteor/metbull.php?code=55416,21.34533,55.463
ALH 83010,LL3.3,395.2,Found,1983,http://www.lpi.usra.edu/meteor/metbull.php?code=530,-76.76991,158.1405
MET 01065,L5,395.2,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=16298,-79.68333,159.75
Y-81058,H4,395.02,Found,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=29119,-71.5,35.66667
Daraj 014,L6,395,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=6553,29.59806,11.74167
HaH 049,H4,395,Found,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=11532,28.533,13.14517
Bacqueville,H6,395,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=4918,49.32222,1.36556
NWA 723,CV3,395,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=17805,29.88333,-5.5
Dho 442,H5,395,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=7218,18.86248,54.43
GRV 052759,L6,395,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=50452,-72.78,75.31694
GRV 053527,L6,395,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=50540,-72.78194,75.29806
QUE 97023,LL6,394.7,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=20430,-84,168
Dho 1687,L6,394.6,Found,2011,http://www.lpi.usra.edu/meteor/metbull.php?code=56193,18.0901,54.08788
EET 87513,Howardite,394.5,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=8064,-76.2727,156.46332
Acfer 149,L/LL6,394,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=158,27.58333,4.05
DaG 308,H6,394,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=5856,27.38467,16.12867
Dho 102,L6,394,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=6821,18.92967,54.47117
Dho 235,LL5,394,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=7019,19.005,54.55
Acfer 395,CR2,394,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=53887,27.50917,3.88767
Dho 860,OC,394,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=7606,19.3,54.66833
Y-793191,H4,393.94,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=28540,-71.5,35.66667
Shi??r 042,L6,393.86,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=23577,18.57452,53.8161
A-881058,H4,393.47,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3767,-72,26
A-881972,L3,393.47,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4681,-72,26
Coolamon,L6,393,Found,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=5433,-34.81667,147.13333
DaG 187,L6,393,Found,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=5735,27.10667,16.0085
HaH 239,H5,393,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=11722,28.47817,13.14417
GRV 052758,L6,393,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=50451,-72.77861,75.31667
EET 96043,H5,392.9,Found,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=9637,-76.18333,157.16667
CyDL 054,H5,392.8,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=30458,35.07667,-116.74667
Kappakoola,H6,392.5,Found,1929,http://www.lpi.usra.edu/meteor/metbull.php?code=12252,-33.25,135.53333
SaU 256,H5,392.5,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=23429,20.60063,57.15925
QUE 94230,L6,392.3,Found,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=19868,-84,168
Carcote,H5,392,Found,1888,http://www.lpi.usra.edu/meteor/metbull.php?code=5267,-24,-69
Acfer 105,L6,392,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=114,27.55,4.13333
DaG 071,L6,392,Found,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=5587,27.056,16.399
DaG 448,L4/5,392,Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=5996,27.4335,16.0845
DaG 960,L6,392,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=6500,26.87567,16.68033
Dho 720,H4,392,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=7476,18.945,54.895
Galleta Flat,H4,392,Found,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=52414,32.00415,-110.37503
El M?dano 029,L5,392,Found,2010,http://www.lpi.usra.edu/meteor/metbull.php?code=54497,-24.85,-70.53333
ALH 84067,H5,391.2,Found,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=669,-76.72477,158.71596
Dho 448,L6,391,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=7222,18.89942,54.53957
JaH 660,L4,390.8,Found,2011,http://www.lpi.usra.edu/meteor/metbull.php?code=56215,19.6973,56.706
A-9001,H6,390.48,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=4834,-72,26
A-881043,H,390.47,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3752,-72,26
EETA79004,Eucrite-pmict,390.3,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=10005,-76.29167,157.23945
MET 01007,L6,390.3,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=16240,-79.68333,159.75
SaU 518,L5,390.3,Found,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=52000,20.37153,56.51082
DaG 739,H5,390,Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=6286,27.19667,16.0885
DaG 744,LL6,390,Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=6291,27.12833,16.05083
Dho 1641,CO3,390,Found,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=56576,18.47203,54.1284
NWA 2036,EL6,390,Found,,http://www.lpi.usra.edu/meteor/metbull.php?code=17611,31.59167,-5.76667
NWA 053,R4,390,Found,,http://www.lpi.usra.edu/meteor/metbull.php?code=17063,32.05,-3.03333
EET 87560,H5,389.9,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=8110,-76.18333,157.16667
Acfer 363,LL4,389.9,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=368,27.58163,4.29388
Y-790401,H4,389.5,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=25750,-71.5,35.66667
DRPA78006,"Iron, IIAB",389.3,Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=6682,-80.06667,156.38333
PCA 82508,L6,389.3,Found,1982,http://www.lpi.usra.edu/meteor/metbull.php?code=18271,-85.66214,-68.35
A-880856,L6,389.21,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3565,-72,26
RaS 298,L6,389.2,Found,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=51899,20.66713,55.31572
QUE 90213,L5,389,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=19018,-84.586,162.61564
Acfer 202,CO3.5,389,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=210,27.50889,4.60167
SaU 049,H5,389,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=23241,20.98067,57.30217
A-880938,L3.5,388.82,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3647,-72,26
ALH 85029,L6,388.8,Found,1985,http://www.lpi.usra.edu/meteor/metbull.php?code=895,-76.83961,156.40872
ALH 84097,L6,388.7,Found,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=699,-76.91001,156.72089
