id,"titel","land","ort","kategorie",budget,summe,free,donations,supports,supporter,fans,kommentare,blogposts,"aktivierungsdatum","enddatum","URL"
454,"de Janeiro - the other side of Rio","Deutschland","Berlin","Film / Video",2000,2025,295,0,29,27,59,23,25,"30.04.12 14:17","21.07.12","http://www.startnext.de/de-janeiro"
455,"KlangKörper2013-ein inklusives und generationsübergr. Tanzprojekt","Deutschland","Hannover","Theater",5000,5415,3835,0,23,20,108,7,6,"21.05.12 12:50","20.07.12","http://www.startnext.de/klangkoerper2013"
456,"Im Winter, so schön","Deutschland","Aachen","Film / Video",18750,20005,5246,0,111,95,209,35,43,"11.05.12 15:39","20.07.12","http://www.startnext.de/im-winter"
457,"FRÖSCHE IM HEISSEN WASSER - Belgrad-Berlin","Deutschland","Berlin","Theater",1125,1135,1020,25,11,11,30,6,6,"19.04.12 13:41","18.07.12","http://www.startnext.de/froesche-im-heissen-wasser"
458,"BUNBURY oder Ernst sein ist alles - Sommertheater der Cammerspiele Leipzig","Deutschland","Leipzig","Event",500,536,86,0,33,31,35,7,4,"05.06.12 17:31","18.07.12","http://www.startnext.de/bunbury"
459,"Familienlounge  Kaffeekonzertreihe","Deutschland","Berlin","Musik",3000,3018,1030,1650,10,10,58,11,6,"03.05.12 11:53","17.07.12","http://www.startnext.de/familienlounge"
460,"PORTER CD - Wolkenstein","Deutschland","Essen","Musik",2000,2166,217,0,83,73,78,41,65,"17.04.12 16:56","17.07.12","http://www.startnext.de/porterwolkenstein"
461,"La Deutsche Vita der Film","Deutschland","Berlin","Film / Video",8500,8500,4830,0,53,51,147,16,3,"14.05.12 10:28","15.07.12","http://www.startnext.de/ladeutschevita"
462,"ERSTE LIGA - eine bitterböse Komödie über das harte Fußballgeschäft","Deutschland","Stuttgart","Film / Video",5000,5778,5040,0,49,43,82,7,16,"03.05.12 11:52","15.07.12","http://www.startnext.de/erste-liga"
463,"Kochbuch 'Kochen mit Hartz IV'","Deutschland","Castrop-Rauxel","Literatur",800,846,0,0,8,7,39,10,5,"07.05.12 11:10","15.07.12","http://www.startnext.de/kochbuch-hartz-iv"
464,"Modernism London Style","Schweiz","London","Fotografie",4600,5395,195,0,84,79,81,9,4,"30.05.12 14:13","15.07.12","http://www.startnext.de/modernism-london-style"
465,"Alle rennen nach dem Glück","Deutschland","Köln","Film / Video",4000,4030,802,2193,75,60,98,28,33,"06.06.12 18:11","15.07.12","http://www.startnext.de/glueck"
466,"Musiktheaterprojekt Fehlplanung Tour D","Deutschland","Berlin","Theater",600,605,525,0,10,9,35,1,1,"20.04.12 09:46","14.07.12","http://www.startnext.de/fehlplanung-tour-d"
467,"Ponytime im Kino","Deutschland","Bramsche","Film / Video",300,425,35,0,21,20,41,7,0,"19.06.12 11:45","13.07.12","http://www.startnext.de/ponykino"
468,"TV-Sendungspilot: Schmollywood","Deutschland","Köln","Film / Video",4000,4459,2783,0,83,82,127,21,17,"10.04.12 16:57","10.07.12","http://www.startnext.de/schmollywood"
469,"Infowebseite über Fukushima","Deutschland","Berlin","Journalismus",400,400,205,0,6,4,25,2,6,"03.05.12 17:15","10.07.12","http://www.startnext.de/fukushima-info-webseite"
470,"a minute is not a minute - Künstlerische Reflexionen über Zeit","Deutschland","Berlin","Kunst",350,440,75,0,15,15,33,2,5,"15.06.12 17:48","10.07.12","http://www.startnext.de/a-minute-is-not-a-minute"
471,"MONTRAK - MEISTER DER VAMPIRE","Deutschland","Bayreuth","Film / Video",5000,5005,2790,0,66,56,97,23,24,"05.04.12 14:59","09.07.12","http://www.startnext.de/montrak"
472,"Brushwood (AT)","Deutschland","München","Film / Video",2000,2000,5,0,29,27,92,3,7,"11.05.12 15:20","08.07.12","http://www.startnext.de/brushwood"
473,"MEYSTERSINGER  'Es ist Liebe' Tour 2012 ","Deutschland","Berlin","Musik",2500,2555,445,0,38,35,71,16,15,"04.05.12 14:04","07.07.12","http://www.startnext.de/meystersinger-tour-2012"
474,"Hamburger Küchensessions - Doppel-CD-Sampler der Künstler ","Deutschland","Hamburg","Musik",3000,3561,116,0,171,163,168,32,12,"16.05.12 15:37","07.07.12","http://www.startnext.de/hamburger-kuechensessions"
475,"9. Human Rights Festival der ARGE Jugend","Österreich","Graz","Event",5000,5317,3087,0,33,32,62,8,0,"15.05.12 12:27","06.07.12","http://www.startnext.de/hrf"
476,"Spuk unterm Riesenrad - Sommertheater im Spreepark Berlin","Deutschland","Berlin","Theater",4800,5999,1385,3809,74,71,141,15,8,"07.05.12 15:58","05.07.12","http://www.startnext.de/spuk-unterm-riesenrad"
477,"INSIDEOUT BERLIN","Deutschland","Berlin","Fotografie",1500,2145,1905,0,24,20,38,1,21,"24.05.12 16:12","05.07.12","http://www.startnext.de/emotions"
478,"Gilberti's Curiositäten (Postproduktion und Release)","Österreich","Salzburg","Film / Video",700,915,215,0,24,24,55,9,9,"07.06.12 18:46","04.07.12","http://www.startnext.de/gilbertis-curiositaeten"
479,"DOWN SOUTHERN ROADS","Deutschland","Vereinigte Staaten","Film / Video",10000,10828,5058,0,42,40,111,6,24,"03.04.12 14:55","03.07.12","http://www.startnext.de/downsouthernroads"
480,"HANDLUNGSBEREITSCHAFT","Deutschland","Berlin","Kunst",2500,2570,910,0,31,25,43,3,4,"20.04.12 14:42","01.07.12","http://www.startnext.de/handlungsbereitschaft"
481,"skunkit wird ein Messenger mit Werten","Deutschland","Stuttgart","Erfindung",2500,2532,1997,0,24,19,94,7,4,"11.04.12 12:15","01.07.12","http://www.startnext.de/skunkit"
482,"Druck der ersten Auflage des Romans 'Sturmernte'","Deutschland","Merzhausen","Literatur",2000,2660,195,0,44,40,49,12,26,"17.04.12 15:35","01.07.12","http://www.startnext.de/sturmernte"
483,"Vier Träume (Dokumentarfilm)","Deutschland","Siegen","Film / Video",4920,5160,1300,0,39,27,66,5,15,"30.05.12 10:15","01.07.12","http://www.startnext.de/viertraeume"
484,"Little Astronaut - Near Space Project - Unsere Erde von oben","Deutschland","Bochum","Fotografie",1050,1481,35,0,35,33,78,21,42,"29.05.12 18:14","01.07.12","http://www.startnext.de/little-astronaut"
485,"berlinfolgen - eine Serie der Tageszeitung 'taz' und 2470media","Deutschland","Berlin","Film / Video",13000,14649,1969,0,242,234,277,45,18,"13.03.12 20:35","30.06.12","http://www.startnext.de/berlinfolgen"
486,"Vinyl 12' - Callya - 'Der Erzähler / Kleiner Mensch EP'","Deutschland","Tübingen","Musik",1729,1831,287,0,94,84,76,16,1,"04.05.12 18:30","30.06.12","http://www.startnext.de/callyavinyl"
487,"Siebenunddreißig Grad","Deutschland","Köln","Event",3500,4160,2125,0,43,39,89,6,0,"18.05.12 09:38","30.06.12","http://www.startnext.de/37grad"
488,"Jenseits der Worte - Mittellanger Film","Deutschland","Mainz","Film / Video",4000,4040,1135,0,29,29,78,11,6,"05.04.12 11:09","30.06.12","http://www.startnext.de/jenseitsderworte"
489,"Fahrende Gärten","Deutschland","Kiel","Event",300,305,160,0,23,20,50,8,6,"11.05.12 15:21","30.06.12","http://www.startnext.de/fahrende-gaerten"
490,"1st Gala Con - The Grand Galloping Gala for European Bronies","Deutschland","Stuttgart","Event",1000,5656,259,0,121,111,135,48,3,"04.05.12 17:28","30.06.12","http://www.startnext.de/galacon"
491,"Auf dem Herzensweg &#8211, Lebensgeschichten spiritueller Frauen","Deutschland","Kiel","Literatur",1000,1040,345,0,12,11,35,12,21,"30.04.12 15:04","30.06.12","http://www.startnext.de/buch-auf-dem-herzensweg"
492,"Film Leben Festival","Deutschland","Ilmenau","Event",3000,3184,1939,0,76,71,102,9,16,"14.05.12 10:14","30.06.12","http://www.startnext.de/film-leben-festival"
493,"Karin Åberg (Schweden) & Tommy Finke & Daniel Brandl Minitour II","Deutschland","Hamburg","Musik",480,480,117,0,8,8,15,4,1,"30.05.12 11:46","30.06.12","http://www.startnext.de/aberg-finke-brandl-tour2012"
494,"/slash Filmfestival 2012 // 20.-30. September 2012","Österreich","Wien","Event",2500,6190,105,0,65,64,122,36,16,"10.05.12 19:00","30.06.12","http://www.startnext.de/slash"
495,"Keiner mag Faustmann: Live im Waschsalon","Österreich","Wien","Musik",3000,3171,223,0,54,50,114,33,2,"10.05.12 12:20","30.06.12","http://www.startnext.de/keinermagfaustmann"
496,"Liebesgeflüster - Lieder und ein bißchen mehr!","Deutschland","München","Musik",15000,15469,8326,0,97,74,163,49,30,"04.05.12 15:16","29.06.12","http://www.startnext.de/liebesgefluester"
497,"20 Jahre Rostock-Lichtenhagen - Umdenken durch öffentliche Diskussion","Deutschland","Rostock","Film / Video",500,2051,811,0,39,39,48,12,9,"07.05.12 10:43","29.06.12","http://www.startnext.de/lichtenhagen-2012"
498,"CITY to SUMMIT - Ein Film über ein Vater & Sohn Abenteuer","Deutschland","München","Film / Video",3500,3558,1893,0,55,52,136,46,11,"10.04.12 14:14","28.06.12","http://www.startnext.de/citytosummit"
499,"Heilige Scheiße","Deutschland","Ludwigsburg","Film / Video",1000,1055,425,0,22,21,40,6,0,"24.05.12 13:59","27.06.12","http://www.startnext.de/heilige-scheisse"
500,"Gutenberg 2012 - Podcasts über alte und neue Medienrevolutionäre","Deutschland","Mainz","Journalismus",1000,1000,470,0,11,10,39,5,4,"24.05.12 11:52","26.06.12","http://www.startnext.de/gutenberg"
501,"Videoblog Rio+20","Deutschland","Rio de Janeiro","Film / Video",1500,1510,410,0,18,14,42,10,1,"01.06.12 16:12","26.06.12","http://www.startnext.de/rioplus20"
502,"Lesefutter - Eine kulinarische Reise durch die Literatur","Deutschland","Berlin","Fotografie",1800,1815,1420,0,47,35,66,20,16,"05.06.12 11:55","26.06.12","http://www.startnext.de/lesefutter"
503,"jung | klasse | KLASSIK &#8211, Der Musiksommer im Braunschweiger Land 24.6","Deutschland","Warberg","Event",2500,2555,1585,0,39,31,48,1,7,"14.05.12 10:33","24.06.12","http://www.startnext.de/musiksommer"
504,"MWENYA Uganda_ Helping Uganda Smile","Österreich","Wien","Fotografie",2000,2100,970,0,26,23,48,7,11,"18.05.12 11:01","24.06.12","http://www.startnext.de/helping-uganda-smile"
505,"'DER WEISSE SCHATZ und die Salzarbeiter von Caquena'","Deutschland","Caquena","Film / Video",2500,2575,550,0,39,38,62,8,15,"13.04.12 13:39","21.06.12","http://www.startnext.de/der-weisse-schatz"
506,"ODEON Chile - Tournee 2012","Deutschland","München","Musik",15000,18251,12741,0,106,96,162,18,9,"05.04.12 10:39","21.06.12","http://www.startnext.de/odeon-chile"
507,"EASTERN ALLSTARS Fußballhelden zwischen Ostsee und Schwarzem Meer","Deutschland","Berlin","Design",1600,1613,1108,0,36,32,45,7,6,"04.05.12 12:03","19.06.12","http://www.startnext.de/eastern-allstars"
508,"Offtracks Festival","Deutschland","Dresden","Event",3000,3050,1755,0,53,48,75,2,0,"13.04.12 17:25","18.06.12","http://www.startnext.de/offtracksfestival"
509,"Die Schaukel ","Deutschland","Karlsruhe","Film / Video",600,606,441,0,9,8,32,3,3,"05.04.12 10:33","17.06.12","http://www.startnext.de/die-schaukel"
510,"anderStark - das außergewöhnliche Fotoprojekt","Deutschland","Hamburg","Fotografie",3000,4705,2044,0,86,81,133,28,12,"03.05.12 08:15","17.06.12","http://www.startnext.de/anderstark"
511,"Ulf Langheinrich Sound Art LP","Deutschland","Dresden","Musik",909,990,5,0,27,26,45,6,9,"21.05.12 16:22","17.06.12","http://www.startnext.de/iwhbf"
512,"The Rising &#8212, Ein postapokalyptischer Kurzfilm","Deutschland","Berlin","Film / Video",2500,3149,744,0,92,91,133,24,32,"17.04.12 13:33","16.06.12","http://www.startnext.de/the-rising-2057"
513,"human catapult","Deutschland","Dieburg","Erfindung",850,895,170,0,63,61,63,15,9,"10.05.12 11:07","16.06.12","http://www.startnext.de/catapult"
514,"Ein Blick Iran. Ein Land, da leben Menschen.","Deutschland","München","Kunst",50000,51726,23361,7930,278,254,213,47,33,"18.04.12 17:28","15.06.12","http://www.startnext.de/einblickiran"
515,"Antigua - The Movie","Deutschland","Schwieberdingen","Film / Video",1950,2556,1589,0,28,22,38,8,21,"02.05.12 11:01","15.06.12","http://www.startnext.de/antigua"
516,"HAMLET - Theater und Performance RAMPIG","Deutschland","Heidelberg","Theater",1500,1640,650,0,53,49,49,7,7,"03.05.12 17:16","15.06.12","http://www.startnext.de/rampig"
517,"Tokonoma - Plattform für junge Kunst und Clubkultur","Deutschland","Kassel","Kunst",1500,1512,415,0,23,23,52,9,8,"01.06.12 16:07","15.06.12","http://www.startnext.de/tokonoma"
518,"Ausstellung 2012 - die Kleine Malschule ZKE braucht Unterstützung","Deutschland","Essen","Kunst",1000,1277,627,0,38,33,65,6,7,"12.03.12 15:52","12.06.12","http://www.startnext.de/kleine-malschule-zke"
519,"Product of a Failed State - Liberia","Österreich","Monrovia","Film / Video",8000,8700,4565,0,27,22,118,7,8,"26.04.12 11:55","12.06.12","http://www.startnext.de/failed-state-liberia"
520,"We Are Cecile - Mastering Debüt-Album","Deutschland","Paderborn","Musik",1500,2290,1190,0,39,38,57,16,0,"27.04.12 17:23","12.06.12","http://www.startnext.de/wearececile"
521,"12 Monate Entwicklungshilfe leisten - in Zentralindien, Nagpur - eine Doku","Deutschland","Berlin","Kulturelle Bildung",999,1079,652,0,15,13,48,10,0,"27.03.12 14:58","11.06.12","http://www.startnext.de/entwicklungshilfe"
522,"STELLA - ein Kurzspielfilm","Deutschland","Köln","Film / Video",2500,2555,1235,0,38,34,39,9,9,"30.04.12 14:33","11.06.12","http://www.startnext.de/stella"
523,"BRUEDER ","Deutschland","Ludwigsburg","Film / Video",1000,1020,860,0,12,10,50,5,8,"04.05.12 12:07","10.06.12","http://www.startnext.de/brueder"
524,"The Grand Erg - Reiter der Dünen 3D (AT)","Deutschland","Tunis","Film / Video",4000,4400,3195,0,32,25,69,14,4,"02.04.12 14:32","09.06.12","http://www.startnext.de/granderg2012"
525,"Witnessed, Book Series (Buchreihe)","Deutschland","Berlin","Literatur",600,682,140,0,31,28,87,3,10,"07.05.12 16:30","08.06.12","http://www.startnext.de/witnessed"
526,"Tonnentaucher","Deutschland","Berlin","Film / Video",1500,1502,93,510,22,18,56,4,16,"02.04.12 10:19","06.06.12","http://www.startnext.de/tonnentaucher"
527,"The Refugees - Eine Reportage (2. Produktionsphase)","Deutschland","Berlin","Musik",3000,3120,585,1110,43,40,79,8,23,"04.05.12 18:29","03.06.12","http://www.startnext.de/the-refugees"
528,"COSMA - Veröffentlichung unseres neuen Albums","Deutschland","Berlin","Musik",3000,3527,527,0,89,77,98,18,6,"13.03.12 10:26","02.06.12","http://www.startnext.de/cosma"
529,"Flippermuseum Ruhr","Deutschland","Essen","Kunst",2500,2611,1414,282,25,23,43,15,4,"12.03.12 11:46","31.05.12","http://www.startnext.de/flippermuseum-ruhr"
530,"BART - Berliner Acapella-Truppe: Pressung der EP","Deutschland","Berlin","Musik",700,734,1,0,15,15,34,5,2,"19.03.12 11:56","31.05.12","http://www.startnext.de/bart-ep"
531,"'Prägnante Webtypografie' (E-Book und Print-Kleinauflage)","Deutschland","Würzburg","Literatur",7500,8074,136,0,343,342,363,48,8,"03.04.12 17:50","31.05.12","http://www.startnext.de/webtypobuch"
532,"Linn Marx' Dokumentarfilm-DVD: HEINZ RATZ - Der moralische Triathlon","Deutschland","Lutterbek","Film / Video",500,500,15,0,16,16,37,7,9,"30.03.12 10:47","31.05.12","http://www.startnext.de/ratz-triathlon"
533,"Reverie - Zeichentrick aus Hamburg","Deutschland","Hamburg","Film / Video",2000,3673,883,0,61,54,101,23,12,"28.03.12 15:34","31.05.12","http://www.startnext.de/reverie"
534,"Fliegende Hechte","Deutschland","Ludwigsburg","Film / Video",1000,1069,228,0,26,25,54,7,8,"17.04.12 16:58","31.05.12","http://www.startnext.de/fliegendehechte"
535,"Debüt-Ep von Shaky Foundation","Deutschland","Würzburg","Musik",500,965,310,0,31,29,27,7,4,"02.05.12 10:55","31.05.12","http://www.startnext.de/shaky-foundation-debuet-ep"
536,"Recyclinginsel zum VisionSummit !!!","Deutschland","Berlin","Kunst",395,450,230,0,8,8,19,8,2,"02.05.12 10:05","31.05.12","http://www.startnext.de/vision-summit"
537,"Die Stadt? Die Stadt!","Deutschland","Merseburg","Fotografie",700,705,76,0,51,49,61,11,13,"30.04.12 18:27","30.05.12","http://www.startnext.de/die-stadt"
538,"KochBuch + Videos zur Türkischen Küche ~ KochDichTürkisch","Deutschland","Düsseldorf","Literatur",3500,4146,91,0,138,131,183,34,12,"06.03.12 11:25","28.05.12","http://www.startnext.de/kochdichtuerkisch-buch"
539,"The Bottrops - drittes Album","Deutschland","Berlin","Musik",2500,3335,737,0,75,71,77,47,38,"27.03.12 13:03","28.05.12","http://www.startnext.de/the-bottrops-drittes-album"
540,"Glissa - Hilf uns unser erstes Album zu finanzieren.","Deutschland","Leipzig","Musik",2000,2090,350,0,30,25,36,6,0,"17.04.12 15:30","28.05.12","http://www.startnext.de/album-glissa-avantgarde-pop"
541,"Japan : Shifted","Deutschland","Frankfurt am Main","Kunst",1200,1207,1112,0,10,9,27,0,0,"27.04.12 17:51","23.05.12","http://www.startnext.de/japanshifted"
542,"Musikvideoproduktion 'Ein bisschen Zeit' mit Klaus-André Eickhoff","Deutschland","Berlin","Musik",4000,4065,930,0,23,22,117,8,3,"24.02.12 16:16","21.05.12","http://www.startnext.de/musikvideo-ein-bisschen-zeit"
543,"Wohin man noch will   - Film","Deutschland","Berlin","Film / Video",700,910,505,0,20,13,43,15,2,"23.04.12 17:16","21.05.12","http://www.startnext.de/wohin-man-noch-will-film"
544,">>schlaraffen -  the egotopian experience","Deutschland","Hildesheim","Event",1200,1284,859,0,31,31,56,3,2,"17.04.12 15:38","16.05.12","http://www.startnext.de/schlaraffen-1"
545,"Urban Spaces Berlin Budapest","Deutschland","Berlin","Kunst",1000,1320,80,0,25,24,59,4,4,"19.03.12 17:08","15.05.12","http://www.startnext.de/usbb"
546,"In Memoriam (Kurzfilm)","Deutschland","Erlangen","Film / Video",500,715,520,0,9,8,19,5,10,"10.04.12 12:04","15.05.12","http://www.startnext.de/inmemoriam"
547,"Gabriel und die frechen Affen","Deutschland","Leipzig","Literatur",2000,2633,180,0,111,109,142,20,20,"04.04.12 11:26","14.05.12","http://www.startnext.de/gabriel"
548,"Cliffsight - 'Liquid Demon' Musikvideo","Deutschland","Hanau","Film / Video",1400,1572,277,0,32,29,51,17,15,"16.03.12 15:17","13.05.12","http://www.startnext.de/cliffsight-liquiddemon"
549,"Werders Wohnzimmer","Deutschland","Karlsruhe","Kunst",200,205,155,0,7,6,16,0,1,"07.05.12 13:35","12.05.12","http://www.startnext.de/wewo"
550,"Premiere Residenzpflicht","Deutschland","Berlin","Film / Video",2000,2022,1687,0,15,15,51,6,2,"11.04.12 14:19","08.05.12","http://www.startnext.de/residenzpflicht-dokumentarfilm"
551,"Shakespeare im Park Berlin presents UtopiaTM","Deutschland","Berlin","Theater",2500,2626,1881,0,28,22,46,5,0,"13.02.12 16:48","07.05.12","http://www.startnext.de/utopiatm2012"
552,"'Über den Wolken' - Doku über das vielseitige Leben auf 4000m Höhe","Deutschland","Ilmenau","Film / Video",1200,1215,430,0,33,31,73,4,5,"14.03.12 16:24","07.05.12","http://www.startnext.de/ueber-den-wolken"
553,"KURZFILM: CRUZ VERDE","Deutschland","Barcelona","Film / Video",3000,3260,1430,0,34,31,87,9,28,"15.03.12 12:04","05.05.12","http://www.startnext.de/cruz-verde-1"
554,"Der Goethe und Schiller Pakt","Deutschland","Weimar, Deutschland","Theater",1000,1058,30,0,41,41,85,19,10,"09.02.12 12:15","02.05.12","http://www.startnext.de/der-goethe-und-schiller-pakt"
555,"Rettet Mailfriends!","Deutschland","Braunschweig","Technologie",8630,8647,7287,0,86,55,168,20,8,"31.01.12 11:51","01.05.12","http://www.startnext.de/mailfriends"
556,"Gute Bude","Deutschland","Stuttgart","Event",800,940,260,0,36,32,57,12,29,"29.02.12 10:46","01.05.12","http://www.startnext.de/gute-bude"
557,"Lausch - Vinyl LP Produktion 'Canada is Falling'","Österreich","Wien","Musik",1400,1600,550,0,26,26,47,4,11,"12.03.12 11:43","01.05.12","http://www.startnext.de/lauschvinyl"
558,"Vis-a-vis ","Deutschland","Berlin","Film / Video",5000,5590,4640,0,17,13,69,19,0,"09.03.12 12:53","30.04.12","http://www.startnext.de/vis-a-vis"
559,"Speak Up 4 Human Rights - the documentary","Deutschland","Berlin","Journalismus",4494,4504,614,0,23,20,113,4,16,"15.03.12 09:15","30.04.12","http://www.startnext.de/speak-up"
560,"Ankona (Trailer Dreh)","Deutschland","Esslingen","Film / Video",2700,2805,0,0,11,9,69,9,32,"15.03.12 09:16","30.04.12","http://www.startnext.de/ankona"
561,"Meine Freiheit, Deine Freiheit","Deutschland","Berlin","Film / Video",8000,8079,5579,0,39,33,145,20,21,"05.12.11 16:42","28.04.12","http://www.startnext.de/dokfilm-freiheit"
562,"Die dunkle Seite der Nacht","Deutschland","Berlin","Comic",4500,4644,1751,0,60,47,95,21,30,"27.02.12 15:46","27.04.12","http://www.startnext.de/chamaeleon"
563,"sculpture network präsentiert: Skulptur Werk Raum","Deutschland","Berlin","Kunst",2300,2300,280,0,18,15,36,3,9,"26.03.12 10:59","26.04.12","http://www.startnext.de/berliner-mitgliederausstellung"
564,"A MAZE. Indie Connect -  1.Internationale Indie Games Conference","Deutschland","Berlin","Event",2500,2840,1530,0,18,18,45,10,9,"04.04.12 16:14","24.04.12","http://www.startnext.de/a-maze-indie-connect-2012"
565,"Alternative Hip-Hop Album 'Chryso - DEMONS RUN'","Deutschland","Saarbrücken","Musik",800,812,438,0,35,28,42,7,10,"13.02.12 16:50","22.04.12","http://www.startnext.de/alternative-hip-hop-album-chryso-demons-run"
566,"Öko-Druck fervente comics # 1","Deutschland","Berlin","Comic",1246,1331,511,0,28,26,50,10,17,"19.03.12 09:18","20.04.12","http://www.startnext.de/fervente-comics"
567,"Kleine Welten - Kindertheaterstück für junge Zuschauer ab 3","Deutschland","Hamburg","Theater",4500,4574,4464,0,12,10,72,2,5,"07.12.11 17:56","15.04.12","http://www.startnext.de/www-theatermaer-de"
568,"MixTaste - Genreübergreifendes Konzertprojekt","Deutschland","Hamburg","Film / Video",1500,1500,1075,0,24,22,60,8,6,"07.03.12 17:32","14.04.12","http://www.startnext.de/mixtaste"
569,"WITH LOVE FROM MADAGASCAR Klara Hardens new Adventure Documentary","Österreich","Berlin","Film / Video",5000,7835,4528,0,123,112,167,44,10,"15.03.12 17:11","14.04.12","http://www.startnext.de/with-love-from-madagascar"
570,"HIMMEL AUS STEIN /A SKY OF STONE","Deutschland","Berlin","Film / Video",5000,5021,1021,0,43,35,85,9,29,"13.01.12 15:42","13.04.12","http://www.startnext.de/himmel-aus-stein"
571,"SOULTRIP by PORTASH: 12 Songs in 12 Monaten","Deutschland","Dresden","Musik",1500,1503,1205,0,16,14,40,8,5,"13.02.12 16:57","12.04.12","http://www.startnext.de/portash-soultrip"
572,"Cosmopolitan Dogtrot - Debütalbum","Deutschland","Berlin","Musik",1000,1105,515,0,30,28,45,4,6,"25.01.12 14:51","10.04.12","http://www.startnext.de/cosmopolitan-dogtrot"
573,"mini-Mahler: Sinfonie Nr. 9 *Welturaufführung* (arr. Simon)","Deutschland","Berlin","Musik",5000,6901,1346,1045,71,61,123,11,18,"20.02.12 15:56","10.04.12","http://www.startnext.de/mini-mahler"
574,"'cross senses","Deutschland","Berlin","Kunst",1500,1505,1415,0,13,10,39,0,6,"16.03.12 16:54","09.04.12","http://www.startnext.de/cross-senses"
575,"Ein Stück Heimat in der Fremde","Deutschland","Rickling","Film / Video",300,300,95,0,12,12,31,5,9,"21.03.12 16:20","08.04.12","http://www.startnext.de/ein-stueck-heimat-in-der-fremd"
576,"Fotografisch-akustische Dokumentation über die Färöer","Deutschland","Hannover","Fotografie",300,312,150,0,8,7,27,2,7,"12.03.12 11:45","07.04.12","http://www.startnext.de/faeroeer"
577,"JENSEITS VON IRGENDWO - Ein studentisches Kurzfilmprojekt","Deutschland","Kiel","Film / Video",450,533,305,0,11,9,33,7,13,"08.03.12 15:59","01.04.12","http://www.startnext.de/jenseits-von-irgendwo"
578,"Leben!","Deutschland","Berlin","Film / Video",5500,5636,3561,0,45,34,106,12,17,"03.02.12 14:10","31.03.12","http://www.startnext.de/leben"
579,"Hartz IV Möbel - Buch","Deutschland","Berlin","Literatur",5000,13159,508,0,361,354,513,102,36,"07.02.12 10:33","31.03.12","http://www.startnext.de/hartz-iv-moebel-buch"
580,"Perlen für die Säue","Deutschland","Erfurt","Film / Video",300,301,71,0,10,8,29,4,11,"27.02.12 13:06","31.03.12","http://www.startnext.de/perlenfuerdiesaue"
581,"LICHTER Filmfest - 27.03. - 01.04.2012","Deutschland","Frankfurt am Main","Event",5000,5000,3610,0,45,41,104,10,12,"30.01.12 13:10","28.03.12","http://www.startnext.de/lichter-filmfest"
582,"Konzeptalbum: !ES!","Deutschland","Dresden","Musik",1200,1256,56,0,29,27,55,16,17,"02.02.12 11:38","25.03.12","http://www.startnext.de/mrt"
583,"Rock am Platz 8 - Newcomer-Festival aus Berlin sucht Supporter","Deutschland","Frohnau, 13465 Berlin, Deutschland","Event",750,850,795,0,11,10,34,0,3,"07.02.12 17:55","25.03.12","http://www.startnext.de/rockamplatz"
584,"Das sind wir wert! Fundraiser-Magazin - Fachmedium des Jahres 2012?","Deutschland","Deutschland, Österreich, Schweiz","Journalismus",666,671,111,0,35,34,58,21,13,"07.02.12 17:08","25.03.12","http://www.startnext.de/fundraiser-magazin"
585,"Monica Reyes - Schmusen! (Album)","Deutschland","Wien","Musik",2500,2600,1191,0,46,41,97,21,11,"12.01.12 17:05","24.03.12","http://www.startnext.de/schmusen"
586,"Die Glorifizierung des Banalen","Deutschland","Wien","Kunst",2000,2043,783,0,29,23,56,7,19,"08.02.12 16:12","23.03.12","http://www.startnext.de/die-glorifizierung-des-banalen"
587,"Leon Francis Farrow EP - Mastering und -Pressung","Deutschland","Berlin","Musik",1300,1646,226,0,76,69,88,22,8,"13.02.12 16:46","23.03.12","http://www.startnext.de/leonfrancisfarrow"
588,".eins. zwei - Abschlussausstellung Neue Schule für Fotografie 2012","Deutschland","Berlin","Kunst",500,514,284,0,9,9,33,1,0,"15.02.12 12:43","23.03.12","http://www.startnext.de/eins-zwei"
589,"ConBrio geht auf Norwegen-Tour 2012","Deutschland","Solingen","Musik",1000,1531,660,0,32,30,69,8,7,"03.01.12 14:52","18.03.12","http://www.startnext.de/conbrio-norwegen"
590,"Pingo ergo sum &#8211, Das Bild fällt aus meinem Kopf","Deutschland","Rostock, Deutschland","Erfindung",5000,5814,3932,0,55,52,129,22,8,"02.02.12 14:52","17.03.12","http://www.startnext.de/brain-painting-ausstellung"
591,"Absent Present","Deutschland","Israel Palästina ","Film / Video",3000,3265,1645,0,38,34,88,13,3,"03.01.12 14:33","16.03.12","http://www.startnext.de/absent-present"
592,"Literaturmagazin [Lautschrift] &#8211, Uni-Text Uni-Kunst","Deutschland","Tübingen","Literatur",1500,1515,10,0,21,19,46,10,6,"04.02.12 15:47","16.03.12","http://www.startnext.de/lautschrift"
593,"Karin Åberg (Schweden) & Tommy Finke Minitour","Deutschland","Nordrhein-Westfalen","Musik",540,783,215,0,20,20,48,11,16,"10.01.12 10:06","15.03.12","http://www.startnext.de/karin-berg-and-tommy-finke-minitour"
594,"Das Schokoladenmädchen (Kurzfilm ca. 30 min)","Deutschland","Hamburg","Film / Video",1000,1044,309,0,19,17,61,8,24,"23.01.12 14:50","15.03.12","http://www.startnext.de/das-schokoladenmaedchen-kurzfilm"
595,"Zeit ist Held","Österreich","Salzburg, Österreich","Kunst",2000,2240,180,0,42,34,70,18,7,"30.01.12 10:53","13.03.12","http://www.startnext.de/zeit-ist-held"
