id,"titel","land","ort","kategorie",budget,summe,free,donations,supports,supporter,fans,kommentare,blogposts,"aktivierungsdatum","enddatum","URL"
235,"Lieder aus der Hauspostille (Bertolt Brecht) gesungen von Guido Renner","Deutschland","Köln","Musik",5000,5050,1455,0,46,35,77,20,12,"31.10.12 17:13","31.12.12","http://www.startnext.de/lieder-aus-der-hauspostille"
236,"Visual Tonality - a vocal installation","Deutschland","Freiburg","Musik",3050,3176,2836,0,22,22,84,9,5,"27.11.12 12:35","31.12.12","http://www.startnext.de/visualtonality"
237,"spanisch-deutsches Hausbuch für Kinder & Eltern & Kitas","Deutschland","Köln","Musik",3000,3130,2640,0,22,19,72,22,10,"27.11.12 14:35","31.12.12","http://www.startnext.de/pin-uno-kinderbuch"
238,"Berlin Bruisers 2013 Calendar","Deutschland","Berlin","Fotografie",250,250,51,0,10,9,21,0,2,"23.11.12 10:53","31.12.12","http://www.startnext.de/berlinbruisers"
239,"Komm an Bord, wir bauen einen UMIAK, ein Boot der Inuit!","Deutschland","Hamburg","Design",1650,2160,915,0,36,33,84,16,17,"08.11.12 10:39","26.12.12","http://www.startnext.de/easycityumiak"
240,"'I CAN´T BE SILENT' - The Refugees auf Deutschlandtour / Phase 3","Deutschland","Berlin","Musik",2000,2220,220,315,37,36,62,9,10,"01.11.12 15:48","24.12.12","http://www.startnext.de/refugees-doku"
241,"Traum aus Stoff","Deutschland","Berlin","Mode",4950,5525,840,0,61,61,100,13,9,"15.11.12 12:28","24.12.12","http://www.startnext.de/traum-aus-stoff-3"
242,"Neo Kaliske - das Debütalbum","Deutschland","Leipzig","Musik",4200,4425,545,0,103,96,120,36,14,"19.11.12 15:43","24.12.12","http://www.startnext.de/neokaliske-debuetalbum"
243,"gutereise","Deutschland","Berlin","Literatur",5000,5095,1505,0,83,78,106,70,47,"10.10.12 12:01","23.12.12","http://www.startnext.de/gutereise"
244,"ENNO BUNGER - Das zweite Album WIR SIND VORBEI als Vinyl","Deutschland","Leer (Ostfriesland)","Musik",2000,2602,61,0,107,105,100,28,4,"12.11.12 12:40","21.12.12","http://www.startnext.de/wirsindvorbei-auf-vinyl"
245,"Eine neue Version ist verfügbar","Deutschland","München","Literatur",5000,14182,707,0,360,350,399,87,15,"22.10.12 11:17","20.12.12","http://www.startnext.de/neueversion"
246,"Codex Dresdensis - Konzert zum Ende der Zeit","Deutschland","Dresden","Musik",20000,20091,15130,2605,43,37,122,11,12,"26.11.12 16:59","20.12.12","http://www.startnext.de/codex-dresdensis"
247,"Gelebtes Kulturerbe Tango Argentino / Weil Pyramiden nicht tanzen.","Deutschland","Hamburg","Kunst",9320,9378,3498,0,99,83,176,25,2,"14.11.12 11:55","20.12.12","http://www.startnext.de/kulturerbe-tango"
248,"greenlicious","Deutschland","Berlin","Kulturelle Bildung",10000,10440,3980,0,162,149,213,49,7,"20.11.12 17:57","20.12.12","http://www.startnext.de/greenlicious"
249,"VAKUUM - im Sog der Revolution","Deutschland","Berlin","Film / Video",5000,5128,4268,0,42,41,104,14,17,"18.09.12 09:40","18.12.12","http://www.startnext.de/vakuummovie"
