id,"titel","starter","land","ort","kategorie",budget,summe,free,donations,supports,supporter,fans,kommentare,blogposts,"aktivierungsdatum","enddatum","URL"
354,"Planet Lyrik auf neuen Server aufsetzen","Egmont Hesse","Deutschland","Berlin","Literatur",2480,65,0,0,2,2,31,0,3,"24.04.12 17:21","09.07.12","http://www.startnext.de/planet-lyrik"
355,"The Headless Way - Dem Unbekannten begegnen.","BA Katharina Fercher","Österreich","Feldkirchen in Kärnten","Journalismus",1315,200,0,0,6,6,40,6,7,"14.06.12 15:51","07.07.12","http://www.startnext.de/theheadlessway"
356,"THIS IS GERMANY","Meron Alem","Deutschland","Hamburg","Film / Video",5000,70,0,0,3,3,61,0,0,"07.05.12 17:14","06.07.12","http://www.startnext.de/thisisgermany"
357,"Charity-CD: Music for the better","Daniela Singhal","Deutschland","Berlin","Musik",1000,50,0,0,1,1,28,4,3,"07.05.12 11:07","06.07.12","http://www.startnext.de/music-for-the-better"
358,"Tatort Schule- Die Fortsetzung","Sylvia Hamacher","Deutschland","Recklinghausen","Literatur",7500,650,113,0,22,21,96,9,8,"30.04.12 17:24","06.07.12","http://www.startnext.de/tatort-schule"
359,"Syrien: Freiheit, Krieg und die Kurden. Eine Fotoreportage (Reise)","Benjamin Hiller","Deutschland","Berlin","Journalismus",5000,300,25,0,13,13,64,9,6,"14.05.12 09:02","05.07.12","http://www.startnext.de/syrien-kurden-krieg"
360,"Junge Rheumatikerin auf dem Jakobsweg","Pauline Ronny Paul","Deutschland","Treuen","Literatur",3000,255,55,0,8,8,51,9,14,"25.05.12 17:03","04.07.12","http://www.startnext.de/kampf-und-spass-trotz-rheuma"
361,"FUCKING IN CHAMPAGNE - SUSSEXVOLTA - Album-Restfinanzierung ","Cristobal Bullwinkel","Deutschland","Bremen","Musik",3000,320,30,0,18,18,71,4,0,"17.04.12 16:31","03.07.12","http://www.startnext.de/fucking-in-champagne"
362,"Der Ort an dem ich lebe","Sylvaine Scharapenko","Deutschland","Globig-Bleddin","Literatur",1150,90,0,0,4,4,33,7,12,"30.04.12 12:44","03.07.12","http://www.startnext.de/bahnhofsgeschichten"
363,"'Blitemare' - das Spiel für PS3, XBOX, PC und Mac","Markus Tröszter","Österreich","Klaus","Games",5000,1450,1420,0,8,8,110,10,9,"12.04.12 18:49","02.07.12","http://www.startnext.de/blitemare"
364,"Xlixx - Das Tool für die Event- und Medienbranche","Patrick Rödiger","Deutschland","Bernburg (Saale)","Technologie",5000,294,4,0,4,3,55,6,9,"23.04.12 16:18","02.07.12","http://www.startnext.de/xlixx"
365,"Südostasien - Ein Kontinent zwischen Krieg und Tourismus Bildband","Martin Förster","Deutschland","Köln","Fotografie",3000,20,0,0,2,2,54,2,4,"27.04.12 17:51","01.07.12","http://www.startnext.de/soa-kriegodertourismus"
366,"Menschen- Momente - Begegnungen - Auf den Spuren unserer Vergangenheit ","Kreis-Jugend-Bündnis Limburg-Weilburg e. V.","Deutschland","Verdun","Event",1000,30,20,0,2,2,102,1,0,"31.05.12 09:21","01.07.12","http://www.startnext.de/internationale-jugendbegegnung"
367,"Strich-Code Eine Kunstaktion zum Wa(h)rencharakter von Sexualität und Kuns","Kerstin Schulz","Deutschland","Hannover","Theater",5000,10,0,0,1,1,54,1,1,"15.05.12 19:11","01.07.12","http://www.startnext.de/strich-code"
368,"The Good, the Bad and the Milky Way","Emanuel Schreiner","Österreich","Graz","Film / Video",4000,130,105,0,5,5,61,1,4,"23.04.12 16:20","30.06.12","http://www.startnext.de/milkyway-evilfrog"
369,"Asam Classical Soloists - Sommerkonzerte 2012","Ingmar Beck","Österreich","München","Event",500,20,0,0,1,1,10,0,1,"16.05.12 13:44","30.06.12","http://www.startnext.de/asamclassical"
370,"Das Festgelage. Ein Jahrhundert-Foto.","Minus Vier","Deutschland","München","Fotografie",8500,150,0,0,2,2,117,2,0,"24.05.12 11:55","30.06.12","http://www.startnext.de/minusvier"
371,"Ironfaces","Gerald Henzinger","Österreich","Klagenfurt am Wörthersee","Fotografie",2500,310,250,0,6,6,35,2,8,"31.05.12 17:02","30.06.12","http://www.startnext.de/gesichter-von-ironman-finisher"
372,"Jemnesia &#8211, Support our battle against the Fellows Foundation Inc.","Fabian Walitschek","Deutschland","Berlin","Film / Video",20000,2521,1911,0,20,16,132,16,4,"01.06.12 00:17","30.06.12","http://www.startnext.de/jemnesia"
373,"Sommerlochausstellung der HfG Karlsruhe","Sommerloch Ausstellung","Deutschland","Karlsruhe","Kunst",2000,90,5,0,4,4,30,2,18,"04.06.12 17:55","30.06.12","http://www.startnext.de/sommerlochausstellung-der-hfg"
374,"Follow your heart...closely - following The Ride Home","Nina Fischer","Deutschland","Wiesbaden","Literatur",8000,2730,235,0,27,26,116,32,18,"14.06.12 12:42","30.06.12","http://www.startnext.de/follow-your-heart-closely"
375,"Mr Elektro - Der elektrische Wunderheiler Balis","Sebastian Linda","Deutschland","Dresden","Film / Video",5000,250,0,0,4,4,62,9,8,"16.04.12 15:14","29.06.12","http://www.startnext.de/mr-elektro"
376,"KALTSTART HAMBURG 2012","Sarah Theilacker","Deutschland","Hamburg","Theater",3000,319,5,160,13,12,63,0,3,"21.05.12 17:00","28.06.12","http://www.startnext.de/kaltstarthamburg"
377,"CASH FLOW Das Abenteuer Wirtschaft | Crowdfunding-Special/cm2!","Ferenc Papp","Österreich","Wien","Journalismus",20000,350,5,0,9,9,115,3,1,"13.06.12 09:07","28.06.12","http://www.startnext.de/cash-flow"
378,"Grow","Alexander Wessling","Deutschland","Wedel","Games",2000,70,65,0,5,5,30,1,0,"30.03.12 10:42","25.06.12","http://www.startnext.de/grow"
379,"Auf Spurensuche am Limes - Ein strategisches Archäologiespiel","Gerhard Junker","Deutschland","Urbach","Games",17000,3561,241,0,77,76,165,41,12,"23.03.12 09:27","21.06.12","http://www.startnext.de/limes-spiel"
380,"Verkehrte Wald","Miriam Peter","Deutschland","Rechener Park, 44789 Bochum, Deutschland","Kunst",1000,226,20,16,8,8,55,4,6,"04.04.12 12:11","21.06.12","http://www.startnext.de/verkehrte-wald"
381,"Musswessels  Printdesign","Kathrin Musswessels","Deutschland","Hamburg","Mode",2500,104,0,0,2,2,43,5,1,"10.05.12 12:17","16.06.12","http://www.startnext.de/musswessels-printdesign"
382,"Change Games Entertainment","Oliver Caplikas","Deutschland","Leipzig","Games",2200,55,0,0,1,1,31,0,2,"14.05.12 10:12","15.06.12","http://www.startnext.de/changegames"
383,"Hamburg kann...Theater!Literatur!Kunst! Netzwerk für Nachwuchskünstler","Monika Malczewski","Deutschland","Hamburg","Theater",1600,225,200,0,2,2,43,7,3,"02.04.12 10:50","15.06.12","http://www.startnext.de/hamburg-kann"
384,"RED STI F1 World Cup","Matthias Reinecke","Deutschland","Ludwigshafen","Event",6000,59,9,0,5,5,82,14,7,"04.06.12 16:57","15.06.12","http://www.startnext.de/red-sti-world-cup"
385,"Cloudtells Transmedia-Projekt","Dennis Nicolas Perzl","Deutschland","Regensburg","Theater",300,90,0,0,2,2,14,0,0,"21.05.12 16:44","15.06.12","http://www.startnext.de/cloudtells2012"
386,"'Memento vivere' - Lieder von Rudi Stephan auf CD","Alexander Vassiliev","Deutschland","Freiburg","Musik",5700,96,0,0,3,3,79,13,3,"14.03.12 17:02","14.06.12","http://www.startnext.de/rudi-stephan-lieder"
387,"BRETINGA Rockfestival","Saskia Herbst","Deutschland","Breitungen/Werra","Event",4000,110,90,0,2,2,52,4,3,"13.04.12 10:26","12.06.12","http://www.startnext.de/bretinga-rockfestival"
388,"closar - der Gruppen-Messenger für Privatsphäre im Netz","closar team","Deutschland","Köln","Erfindung",15000,635,50,0,10,8,111,6,8,"19.03.12 17:47","10.06.12","http://www.startnext.de/closar"
389,"Silversword 2 - Götterdämmerung","Mario Gaida","Deutschland","Bielefeld","Games",15000,3846,3056,0,15,14,124,24,10,"26.03.12 09:41","10.06.12","http://www.startnext.de/silversword2"
390,"Das neue hystereo-Hörspiel 'Schneetreiben'","Ralf Jordan","Deutschland","Hamburg","Hörspiel / Hörbuch",940,271,40,0,21,20,38,5,10,"09.05.12 11:47","10.06.12","http://www.startnext.de/schneetreiben"
391,"SkyberLP, Game-LetsPlays auf Youtube!","Till Schulzendorff","Deutschland","Neuss","Film / Video",2500,5,0,0,1,1,27,5,8,"03.05.12 11:22","10.06.12","http://www.startnext.de/skyberlp"
392,"Musikvideoproduktion 'Wenn wir schaun, schaun, schaun'  auf Mallorca ","Oliver Ringleb","Deutschland","Essen","Musik",3000,25,0,0,4,4,60,4,6,"09.05.12 10:47","10.06.12","http://www.startnext.de/musikvideo-von-olli-ol"
393,"RHEIN - From Source to Sea a kayak expedition","Florian Petry","Deutschland","Köln","Film / Video",2000,195,0,0,5,5,34,4,0,"07.05.12 15:35","09.06.12","http://www.startnext.de/rhein-from-source-to-sea"
394,"Mourning (Veröffentlichung)","Sebastian Horn","Deutschland","München","Film / Video",1000,45,0,0,3,3,28,3,4,"10.05.12 10:05","08.06.12","http://www.startnext.de/mourning"
395,"Der Rastlosen Heimat","Sebastian Matthias Wei¤bach","Deutschland","Berlin","Film / Video",3300,290,0,0,3,3,52,2,4,"12.04.12 11:48","07.06.12","http://www.startnext.de/der-rastlosen-heimat"
396,"Multimediales Projekt Canyoning","Stefan Hofmann","Frankreich","Les Adrets","Journalismus",3000,1885,5,0,31,29,93,9,6,"13.02.12 16:54","06.06.12","http://www.startnext.de/lehrbuch-canyoning"
397,"Dokumentarfilm: Epilepsie in Kenia","Kristin Nahrmann","Deutschland","Bielefeld","Film / Video",3500,350,5,0,5,5,59,1,5,"18.04.12 18:58","06.06.12","http://www.startnext.de/epilepsie-in-kenia"
398,"kunstbereit e.V. - Performance","Gesa Friederichs-Büttner","Deutschland","Ulm","Theater",2000,25,15,0,3,3,30,0,0,"07.05.12 15:28","05.06.12","http://www.startnext.de/kunstbereit-e-v"
399,"Sommercamp Lüttville 2012","Jean Rehders","Deutschland","Hamburg","Event",2500,780,0,220,10,10,33,2,3,"24.10.11 02:18","04.06.12","http://www.startnext.de/luettville"
400,"Sustainability Booklet - Audiovisuelle Kommunikation","Dr. Joachim Borner","Deutschland","Berlin","Literatur",5000,348,28,0,17,17,70,7,19,"15.05.12 16:53","03.06.12","http://www.startnext.de/sustainability-booklet"
401,"Kurzfilm 'Nur neun Jahre Glück'","Laura Sewald","Deutschland","Lemgo","Film / Video",3000,95,0,0,8,8,66,5,8,"30.04.12 16:22","03.06.12","http://www.startnext.de/nur-neun-jahre-glueck-1"
402,"FOKKER - Die Dokumentation 2012","Philip Schneider","Deutschland","Uhingen","Film / Video",25000,160,5,0,3,3,103,2,6,"04.04.12 17:39","02.06.12","http://www.startnext.de/fokkerdoku"
403,"Filmfest rejected 2012","Daniela Rückner","Österreich","Innsbruck","Event",2500,50,0,0,2,2,36,0,4,"30.04.12 12:53","01.06.12","http://www.startnext.de/filmfestrejected"
404,"haben oder sein.  BERKONSUM","Tristan Schneider","Deutschland","Berlin","Film / Video",700,165,40,0,10,9,33,4,10,"21.03.12 10:22","31.05.12","http://www.startnext.de/haben-oder-sein"
405,"Examensausstellung + Katalog im Documentajahr 2012 in Kassel","Karolin Klüppel","Deutschland","Kassel","Kunst",5000,250,0,0,1,1,59,2,0,"07.05.12 14:34","31.05.12","http://www.startnext.de/examen-2012-1"
406,"CASCADEUR RELOADED - Deutschlands erstes CROWD-MOVIE startet","MovieChips GmbH","Deutschland","München","Film / Video",5500,84,0,0,5,5,85,8,5,"19.04.12 16:00","31.05.12","http://www.startnext.de/cascadeur-reloaded"
407,"Ghamoun (Dokumentarfilm, Senegal 2012)","Thomas Herm","Deutschland","Mainz","Film / Video",1500,185,0,0,5,5,46,0,8,"19.04.12 13:26","31.05.12","http://www.startnext.de/ghamoun-dokumentarfilm"
408,"himmelgrau.","Münchner Bündnis gegen Depression e.V.","Deutschland","München","Kunst",2500,295,5,260,5,5,40,3,3,"25.04.12 17:08","29.05.12","http://www.startnext.de/himmelgrau"
409,"Amadigi für alle!","Tobias Wolff","Deutschland","Göttingen","Musik",8000,540,0,190,13,11,109,0,4,"10.04.12 11:32","23.05.12","http://www.startnext.de/amadigi-fuer-alle"
410,"Horrorfilm Vogel Gesang","Emily Keller","Deutschland","Kiel","Film / Video",750,260,58,0,13,13,44,1,5,"03.04.12 13:48","22.05.12","http://www.startnext.de/horrorfilm-vogel-gesang"
411,"Zwei Geologen in der Wüste","Robert Raderschatt","Deutschland","Köln","Film / Video",3500,402,2,0,6,6,11,0,5,"21.02.12 18:37","21.05.12","http://www.startnext.de/geologen"
412,"MAGISCHER ORIENT - Moderne Orientalische Tanzkunst","Franka Baddura","Deutschland","Dresden","Event",3500,60,0,0,2,2,55,3,4,"20.03.12 16:36","21.05.12","http://www.startnext.de/magischer-orient"
413,"CALIGULA - Das neue Projekt der Theatergruppe tollMut","David Penndorf","Deutschland","Siegen","Theater",750,45,0,0,3,3,32,3,1,"10.04.12 15:17","20.05.12","http://www.startnext.de/caligula"
414,"(margaretener) BANKgeheimnis","Noura El-Kordy","Österreich","1050 Wien, Österreich","Theater",2000,20,0,0,2,2,31,6,4,"17.04.12 15:37","20.05.12","http://www.startnext.de/bankgeheimnis"
415,"Trophy-Art, Ensemble Lichtobjekte","Anonymer Nutzer","Deutschland","Hamburg","Design",2800,25,0,0,1,1,53,3,1,"03.04.12 10:53","17.05.12","http://www.startnext.de/trophy-art"
416,"FAIRPLAY - ein Tanzaustausch zwischen Berlin und Sheikh Danoon","tina jankulovski","Deutschland","Berlin","Film / Video",3000,60,10,0,5,5,71,1,0,"13.04.12 18:30","17.05.12","http://www.startnext.de/fairplay-ein-tanzaustausch"
417,"Orkhorde","Michael Jan¤en","Deutschland","Kleve","Games",27500,300,15,0,3,3,104,5,10,"03.04.12 10:04","15.05.12","http://www.startnext.de/orkhorde"
418,"Louisiana Ball","Steffen Kunze","Deutschland","Freiberg, Deutschland","Musik",2000,80,50,0,4,4,29,2,0,"29.02.12 09:57","10.05.12","http://www.startnext.de/louisiana-ball"
419,"Umwelt-Social-Game &#8222,2° für den Klimaschutz - Modellstadt Berlin&#8220,","Anna Honrath-Kurth","Deutschland","Berlin","Games",20000,235,25,0,11,11,117,10,5,"27.02.12 14:10","07.05.12","http://www.startnext.de/klima-game"
420,"Landed Gentry: an expanding empire","Anton Yaremchuk","Deutschland","Berlin","Film / Video",8000,60,0,0,5,5,103,1,6,"15.03.12 14:10","06.05.12","http://www.startnext.de/expandingempire"
421,"Rebel Renee - Demo (The EP)","Renee Hofmann","Österreich","Tirol - Europa","Musik",1600,1,0,0,1,1,23,3,6,"13.12.11 18:37","01.05.12","http://www.startnext.de/rebel-renee"
422,"DAC.TV - Die Deutsche Alternative Charts Show","Peter Dommaschk","Deutschland","Berlin","Film / Video",6000,619,12,0,17,17,115,13,3,"01.03.12 16:09","01.05.12","http://www.startnext.de/dac-tv"
423,"O.R.pheus &#8211, Eine musikalisch-theatrale Rauminstallation","Evelyn Hribersek","Deutschland","München","Event",4000,1148,23,0,9,9,60,5,2,"30.03.12 12:15","01.05.12","http://www.startnext.de/o-r-pheus"
424,"Leerzeichen - Die brandneue EP 'Mach mal'n Punkt!' (nur mit  berhits!)","Jacob Teich","Deutschland","Chemnitz","Musik",400,215,175,0,7,7,15,2,0,"29.03.12 10:07","01.05.12","http://www.startnext.de/leerzeichen"
425,"Wintertest - Thriller über einen Autoentwickler","Markus Weinberger","Deutschland","Stuttgart","Literatur",1000,150,50,0,5,5,36,3,4,"20.02.12 18:01","30.04.12","http://www.startnext.de/wintertest"
426,"RUNNER'S PARADISE - Die schönsten Laufabenteuer der Welt","Michele Ufer","Deutschland","Herdecke","Film / Video",24000,1181,11,0,15,14,121,11,7,"29.02.12 11:33","30.04.12","http://www.startnext.de/runners-paradise"
427,"BLACK NEON","Alexander Shkolnikov","Deutschland","Düsseldorf","Film / Video",2550,306,0,0,7,7,52,4,1,"27.03.12 13:35","29.04.12","http://www.startnext.de/black-neon-film"
428,"Tonalität und Selbst Schuld, zwei Kurzfilme in Gebärdensprache.","Frank Wendt","Deutschland","Berlin","Film / Video",2000,45,0,0,4,4,33,0,3,"22.03.12 11:53","25.04.12","http://www.startnext.de/tonalitaet-und-selbst-schuld"
429,"Spielfilm: AM ENDE KAM DIE WUT","Jan Werner","Deutschland","Freising, Zolling und Umgebung","Film / Video",4900,82,0,0,3,3,52,2,3,"12.03.12 15:53","24.04.12","http://www.startnext.de/wut"
430,"PAN'S LETZTES LIED - Die Michael Jackson Verschwörung","Michael Klemm","Deutschland","Berlin","Film / Video",5000,305,150,0,5,4,62,10,1,"13.02.12 16:56","23.04.12","http://www.startnext.de/pans-letztes-lied"
431,"Doku: Blickpunkt ADHS - Aufmerksamkeits Defizit Hyperaktivitäts Syndrom","Anita Schrittwieser","Österreich","Niederösterreich","Film / Video",10000,271,11,0,7,7,117,6,7,"20.02.12 20:38","22.04.12","http://www.startnext.de/blickpunkt-adhs"
432,"Ich erinnere mich an Bosnien","Zoran Simic","Deutschland","Kiel","Film / Video",4000,123,15,0,9,9,56,0,0,"19.03.12 17:08","20.04.12","http://www.startnext.de/bosnien"
433,"gayya - Deine Community für Bi- und Homosexuelle","Pat Behrendt","Deutschland","Berlin","Technologie",5000,1000,0,0,1,1,50,1,4,"19.03.12 15:03","20.04.12","http://www.startnext.de/gayya"
434,"CARICATURA VI - Die lustigste Ausstellung der Welt braucht einen Katalog","Nicole Schwindt","Deutschland","Kassel","Literatur",5000,286,0,0,7,7,63,4,0,"21.02.12 18:37","18.04.12","http://www.startnext.de/caricatura"
435,"Ein PIKACHU für FALL OUT GIRL","MASS & FIEBER OST","Deutschland","Hamburg","Theater",598,71,5,0,3,3,28,2,5,"13.03.12 17:31","17.04.12","http://www.startnext.de/fog"
436,"stART12","stARTconference e.V.","Deutschland","Duisburg","Event",25000,6455,160,0,44,41,148,18,7,"09.03.12 10:29","16.04.12","http://www.startnext.de/start12"
437,"Desona - Hilf uns unser Album zu realisieren!","Thomas Jan¤en","Deutschland","Hannover","Musik",1500,125,0,0,8,8,38,5,1,"28.02.12 17:27","15.04.12","http://www.startnext.de/desona-album-2012"
438,"seebaerTV - video blogging für Segler","Florian Gottschall","Deutschland","Berlin","Film / Video",950,5,0,0,1,1,30,4,2,"14.02.12 11:45","15.04.12","http://www.startnext.de/seebaertv-video-blogging"
439,"Sweet Bodies","Astrid Michels","Deutschland","Achim","Fotografie",2500,13,11,0,3,3,29,1,3,"31.01.12 14:30","11.04.12","http://www.startnext.de/schokolade"
440,"Wei¤e Weihnacht - ein gesellschaftskritisches Kurzfilmprojekt","iwan Kroupko","Deutschland","Hamburg, Deutschlandweit","Film / Video",2000,10,0,0,1,1,31,1,4,"21.02.12 18:39","01.04.12","http://www.startnext.de/weisse-weihnacht"
441,"Raising Resistance Filmtour Deutschland mit Geronimo Arevalos","Florian Kliem","Deutschland","Berlin","Film / Video",1500,30,15,0,2,2,27,0,3,"09.03.12 18:19","01.04.12","http://www.startnext.de/wachsenden-widerstand-1"
442,"Das Geheimnis der Berge","Daniel Blank","Deutschland","Karlsruhe","Games",500,265,0,0,6,6,29,10,26,"15.02.12 12:27","30.03.12","http://www.startnext.de/das-geheimnis-der-berge"
443,"'Dunkelblau' - ein surrealer Psychothriller","Philipp Westerfeld","Deutschland","Henstedt-Ulzburg","Film / Video",600,20,0,0,1,1,10,0,2,"29.02.12 10:02","26.03.12","http://www.startnext.de/dunkelblau"
444,"healing by sharing","Michael Stock","Deutschland","Berlin, OstAfrika","Film / Video",3300,289,19,0,8,8,67,13,3,"30.01.12 12:02","24.03.12","http://www.startnext.de/healing-by-sharing"
445,"NEXUS - CLASSIC MEETS JAZZ","DI Markus Hörhan","Österreich","Wien","Musik",1500,1039,0,0,6,6,43,3,3,"21.12.11 20:27","20.03.12","http://www.startnext.de/nexus"
446,"Barockoper in Parks der Lausitz 2012","Heike Hanefeld","Deutschland","Forst (Lausitz)","Theater",5000,588,387,0,9,9,61,1,9,"16.01.12 10:03","20.03.12","http://www.startnext.de/barockoper-in-der-lausitz"
447,"Eine vergooglete Antwort aufs Leben...dazu zeigt die Welt ihre Gesichter","Alisa Kronberger","Deutschland","Freiburg","Kunst",500,25,20,0,2,2,44,3,0,"20.02.12 12:04","18.03.12","http://www.startnext.de/google-kunst-projekt"
448,"AABER ART AWARD 2012 - Award für junge Kunst in München","Maximilian Heitsch","Deutschland","München","Event",10000,1255,0,0,7,7,113,6,2,"30.01.12 13:07","18.03.12","http://www.startnext.de/aaber-award-2012"
449,"DOKUSOAP 3000 - Hackfleisch! Terror! Nazis! Live!","Lars Kokemüller","Deutschland","Hamburg","Theater",1600,400,130,0,6,6,41,4,92,"13.01.12 10:11","17.03.12","http://www.startnext.de/dokusoap3000"
450,"Fünfsechstel","Daniel Adam","Deutschland","Berlin","Film / Video",3000,230,0,0,5,5,50,4,18,"16.01.12 15:59","16.03.12","http://www.startnext.de/fuenfsechstel"
451,"Kampfhundeirrtum","Matze München","Deutschland","München","Film / Video",1500,100,5,0,10,10,55,7,3,"24.02.12 10:39","15.03.12","http://www.startnext.de/listenhunde"
452,"ALBUM-SUPPORT @ RENDEZVOUS DES TAMBOURS","Holger Heydt","Deutschland","Essen, Solingen, Velbert (Ruhrgebiet / Bergisches Land) NRW","Musik",4800,152,100,0,5,5,54,0,6,"16.01.12 11:30","15.03.12","http://www.startnext.de/rendezvousdestambours"
453,"heute.gestern.morgen - Geschichten über den Stadtalltag","Anna Benz","Deutschland","Bayern","Literatur",2000,730,500,0,6,5,33,0,6,"27.09.11 09:35","12.03.12","http://www.startnext.de/heute-gestern-morgen"
454,"Alicios Liebe","Philip Böhm","Deutschland","Berlin","Film / Video",3665,35,0,0,5,4,50,0,4,"13.01.12 10:27","11.03.12","http://www.startnext.de/alicios-liebe"
455,"lilo - Der Gefährte","Mario Lehmann","Deutschland","Dresden","Erfindung",50000,430,200,0,7,7,72,13,12,"03.01.12 15:58","05.03.12","http://www.startnext.de/lilo-der-gefaehrte"
456,"reality or non reality - a little bit of both","Uwe Nadler","Deutschland","Dresden / Bolivien","Film / Video",3500,486,1,0,13,12,78,3,2,"19.09.11 20:02","03.03.12","http://www.startnext.de/realitaeten-von-jeder-ein-bisschen"
457,"Briefe von Vätern an ihre Söhne und von Müttern an ihre Töchter","Ernst Grabovszki","Österreich","Wien","Literatur",3400,20,0,0,2,2,60,9,0,"02.11.11 17:07","29.02.12","http://www.startnext.de/briefe-vaeter-soehne"
458,"ALTE SACHEN","Art Sigillum","Deutschland","Tel Aviv (Israel)","Film / Video",1500,120,0,0,3,3,48,3,4,"11.10.11 22:04","29.02.12","http://www.startnext.de/alte-sachen-oder-wie-der-holocaust-auf-den-sperrmuell-kam-"
459,"Run Albino - Witch Doctors in Tanzania -","Hannes Mohamed","Deutschland","Tanzania, Germany","Film / Video",9900,217,7,0,5,5,60,14,11,"26.10.11 14:02","29.02.12","http://www.startnext.de/albino-hunting-a-documentary-"
460,"theatralisch - Dein Theatermagazin für Hamburg","Hedda Bültmann","Deutschland","Hamburg","Journalismus",2000,231,61,0,7,7,88,5,2,"24.10.11 02:18","29.02.12","http://www.startnext.de/theatralisch"
461,"acappellica - vocalhamburgfestival","Kirsten König","Österreich","Hamburg","Musik",6500,1135,735,0,7,7,113,10,6,"05.12.11 11:53","29.02.12","http://www.startnext.de/acappellica2"
462,"Marianna - Studioaufnahme","Marianna Oczkowska","Österreich","Wien","Musik",1500,26,0,0,4,4,33,8,1,"03.01.12 12:36","29.02.12","http://www.startnext.de/marianna-singleproduktion"
463,"Gottes vergessene Fussballer ","Luigi Toscano","Deutschland","Freetown und Mannheim  (Baden-Würtenberg)","Fotografie",3000,175,135,0,9,9,60,3,0,"12.12.11 12:03","29.02.12","http://www.startnext.de/gottes-vergessenen-fussballer-ein-dokumentarfilm-von-luigi-toscano-und-eine-portraitserie-der-deborah-musso"
464,"sommerfrei - ein Film über Freiheit ... und Bier","Maximilian Menge","Deutschland","Berlin","Film / Video",1500,340,20,0,20,20,57,13,8,"13.01.12 10:51","29.02.12","http://www.startnext.de/sommerfrei"
465,"Support für unser Barockkonzert: Purcell - Carissime - Campra - Bach","Dr. Heinrich Schneider","Deutschland","Frankfurt am Main","Musik",4999,360,130,0,8,8,59,8,8,"06.01.12 12:34","24.02.12","http://www.startnext.de/orfeo-barockkonzert"
466,"JUDENGASSE","Miguel Schuetz","Deutschland","München/Berlin","Film / Video",7500,63,33,0,5,5,121,4,4,"25.11.11 16:00","23.02.12","http://www.startnext.de/die-judengasse"
467,"AGENT ZUKUNFT. Hörcomic-Serie - die nächsten Folgen","Alexander Magerl","Deutschland","Berlin","Hörspiel / Hörbuch",1500,260,0,0,4,4,33,4,4,"30.12.11 12:57","15.02.12","http://www.startnext.de/agent-zukunft"
468,"Witnessed, Book series","Sharon Dodua Otoo","Deutschland","Berlin","Literatur",4500,615,240,0,18,16,61,17,16,"19.09.11 15:17","14.02.12","http://www.startnext.de/witnessed2"
469,"Riding the Whitewaters of the Amazon","Christoph Rose","Deutschland","Peru","Film / Video",4500,2570,2130,0,16,14,61,4,5,"08.12.11 00:42","11.02.12","http://www.startnext.de/ridingamazon"
470,"Anything goes! - Mit Eurer Hilfe","Birte Bösehans","Deutschland","Berlin","Event",1000,20,0,0,2,2,31,1,0,"19.01.12 14:44","04.02.12","http://www.startnext.de/anything-goes"
471,"BiotopInseln - Kunst und Vielfalt am Stra¤enrand","Stefanie Graze","Deutschland","Hamburg-Rothenburgsort","Event",7000,61,6,0,5,5,28,2,0,"24.10.11 02:19","01.02.12","http://www.startnext.de/biotopinseln"
472,"TESSARA - Die vierte Welt.","Art Sigillum","Deutschland","Freiburg im Breisgau, Deutschland","Literatur",500,100,0,0,1,1,11,2,10,"28.11.11 17:59","01.02.12","http://www.startnext.de/tessara"
473,"Eisluftballon","Andreas Bucher","Deutschland","Halle/S. - Gällivare (Schwedisch Lappland)","Film / Video",3500,71,11,0,6,6,66,8,3,"31.10.11 16:08","31.01.12","http://www.startnext.de/eisluftballon-dokumentation"
474,"'Home Office - I Like'   Eine Kampfdrohne steuert in Richtung Berlin-Mitte ","Hüseyin Yildiz","Deutschland","Berlin","Film / Video",5000,119,10,0,6,6,56,4,8,"23.10.11 12:14","31.01.12","http://www.startnext.de/home-office-i-like"
475,"Kelims Geschichten","Ralph Nebl","Deutschland","Würzburg und Umgebung","Musik",2500,80,0,0,2,2,30,6,3,"29.11.11 18:43","31.01.12","http://www.startnext.de/kelims-geschichten"
476,"Der Kinogänger","Florian Dufour-Feronce","Deutschland","Berlin, Brandenburg","Film / Video",2800,220,25,0,9,8,58,17,12,"08.11.11 12:26","31.01.12","http://www.startnext.de/der-kinogaenger"
477,"Schlagerland-Der Film","Michael Söth","Deutschland","Schleswig-Holstein und Italien","Film / Video",3000,220,70,0,5,5,58,4,2,"20.12.11 17:19","31.01.12","http://www.startnext.de/schlagerland"
478,"Am Ende Des Weges - Ein Projekt gegen Kindesmissbrauch!","Sehlection Nelson Berger","Deutschland","München","Film / Video",400,102,2,0,2,2,21,10,1,"09.12.11 01:59","31.01.12","http://www.startnext.de/am-ende-des-weges"
479,"Down - megrim","Vanessa Zimmerer","Deutschland","Düsseldorf","Film / Video",320,135,0,0,3,3,14,1,9,"29.12.11 12:29","31.01.12","http://www.startnext.de/down"
480,"Children of Kings","Eric Schumacher","Deutschland","Berlin","Film / Video",7000,50,0,0,1,1,116,6,2,"03.11.11 22:01","29.01.12","http://www.startnext.de/children-of-kings"
481,"Design für Blinde und Sehbehinderte - Ein Porträtbuch ","Stephen Paris","Deutschland","Berlin","Literatur",3000,250,0,0,3,3,65,3,0,"09.01.12 15:25","29.01.12","http://www.startnext.de/design-fuer-blinde-ein-portraetbuch"
