id,"titel","starter","land","ort","kategorie",budget,summe,free,donations,supports,supporter,fans,kommentare,blogposts,"aktivierungsdatum","enddatum","URL"
162,"amok@school","Miguel Schuetz","Deutschland","Grünwald","Film / Video",3000,200,0,0,2,2,53,7,11,"07.09.12 16:01","06.12.12","http://www.startnext.de/amok"
163,"Durchboxen ","Anja Mörtin","Deutschland","Wismar","Fotografie",7500,105,10,0,7,7,83,16,6,"22.10.12 10:01","06.12.12","http://www.startnext.de/durchboxen"
164,"Musikalbum BONSCHEN - Meine Musik für dich","Mark Bortey","Deutschland","Bremerhaven","Musik",3500,725,520,0,11,10,68,11,7,"08.11.12 10:13","06.12.12","http://www.startnext.de/bonschen"
165,"DAS CROWDPOSTER &#8211,  810 Unterstützer auf einen Blick","Gregor Kuschmirz","Deutschland","Cologne","Design",7290,751,121,0,49,48,114,34,11,"24.10.12 11:54","06.12.12","http://www.startnext.de/crowdposter"
166,"Edward Maclean's Adoqué - CD Pressung","Edward Maclean","Deutschland","Berlin","Musik",2500,398,5,0,21,21,44,9,3,"23.10.12 18:11","03.12.12","http://www.startnext.de/adoque"
167,"Buergerstimme - Journalismus am Puls der Gesellschaft","Joachim Sondern","Spanien","Valverde","Journalismus",7500,310,195,0,8,8,84,10,26,"01.11.12 14:22","01.12.12","http://www.startnext.de/buergerstimmejournalismus"
168,"E-Partizipation mit WordPress plugin","Stefan Pforte","Deutschland","Rostock","Technologie",2600,65,0,0,2,2,66,7,2,"18.10.12 12:03","01.12.12","http://www.startnext.de/textrapic"
169,"Mo Calaz´ '(T)raumzeit'  - Motto:  'ab ins Presswerk ..'","Matthias Cäsar","Deutschland","Berlin","Musik",1500,290,0,0,17,17,32,5,7,"14.11.12 09:49","01.12.12","http://www.startnext.de/mo-calaz-t-raumzeit"
170,"Ein Versteck","Christoph Müller","Deutschland","Berlin","Kunst",6000,1596,131,0,19,19,87,11,9,"02.10.12 16:09","30.11.12","http://www.startnext.de/ein-versteck"
171,"SF-Planet: Das Internationale Sci-Fi Projekt!","Patrick Frank","Deutschland","Kirchberg (Hunsrück)","Informationsangebot",350,10,0,0,2,2,47,8,10,"11.10.12 11:09","30.11.12","http://www.startnext.de/sfplanetint"
172,"Mysterium Criminis 2012","Richard Dübell","Deutschland","Landshut","Theater",4000,50,0,0,1,1,51,5,13,"10.10.12 14:59","30.11.12","http://www.startnext.de/mittelalterliches-krimibankett"
173,"Crowdfunding fördern - Bei Startnext mitbestimmen! ","Denis Bartelt","Deutschland","Berlin","Informationsangebot",25000,4253,33,20,21,21,328,20,14,"07.09.12 00:03","30.11.12","http://www.startnext.de/supporten"
174,"Tschuldigungk (Album- und Videoproduktion)","Tino Gutsche","Deutschland","Gardelegen","Musik",4000,1550,5,0,5,5,57,12,0,"12.10.12 11:39","30.11.12","http://www.startnext.de/tschuldigungk"
175,"24 Stunden John Cage &#8211, Ein Bauhaus-Happening","Cecilia Amann","Deutschland","Dessau","Event",1200,205,30,0,4,4,27,0,3,"05.11.12 14:45","29.11.12","http://www.startnext.de/john-cage-im-bauhaus-dessau"
176,"Die Bunte Blumenwette","Salomon Zwecker","Deutschland","München","Games",3400,39,0,0,2,2,50,3,2,"04.10.12 12:49","25.11.12","http://www.startnext.de/blumenwette"
177,"Musik der Farben","Elvira Kartseva","Deutschland","Hamburg","Musik",1000,370,310,0,3,3,27,3,3,"19.09.12 13:22","25.11.12","http://www.startnext.de/musikderfarben"
178,"Wie es uns gefällt - Postproduktion - Zwischen Instinkt und Idealismus","Paul Meschh","Deutschland","Graz","Film / Video",7400,240,125,0,8,8,87,4,1,"30.08.12 19:28","23.11.12","http://www.startnext.de/wie-es-uns-gefaellt"
179,"Berlin Fucking Hell &#8211, Die Webserie über Gott, die Welt und Berlin!","Jules Armana","Deutschland","Berlin","Film / Video",2053,105,0,0,3,3,32,0,2,"26.10.12 16:00","22.11.12","http://www.startnext.de/bfh"
180,"Alyssum (a small handwritten book of images in your mailbox) ","ankit goyal","India","Berlin","Fotografie",1000,100,0,0,4,4,33,2,0,"22.10.12 16:24","21.11.12","http://www.startnext.de/alyssum"
181,"Captain Mash- Bis zum letzten Atemzug ","Sascha Otto","Deutschland","Delligsen","Literatur",3000,28,0,0,2,2,50,7,2,"19.10.12 16:51","20.11.12","http://www.startnext.de/bis-zum-letzten-atemzug"
182,"TRAILER MUSIC LIVE - Konzertserie 2013/14","Patrik Pietschmann","Deutschland","Frankfurt","Musik",25000,2495,150,0,72,71,233,49,5,"05.10.12 11:58","20.11.12","http://www.startnext.de/trailermusiclive"
183," bersetzung von 'Los fragmentos infinitos'","SalomÑn Derreza","Deutschland","Düsseldorf","Literatur",7500,435,135,0,8,8,90,4,2,"10.10.12 11:00","17.11.12","http://www.startnext.de/mein-roman-auf-deutsch"
184,"We Love Synthpop - Das Festival","Kai Niklas","Deutschland","Oberhausen","Musik",1111,46,28,0,5,5,39,6,2,"04.10.12 17:17","17.11.12","http://www.startnext.de/we-love-synthpop"
185,"KUSS VON GERECHTIGKEIT UND FRIEDE - Anfang","Daniel Tharau","Deutschland","Berlin","Event",490,69,4,15,7,7,17,3,1,"29.10.12 16:33","17.11.12","http://www.startnext.de/kuss-anfang"
186,"KleinGuth","Alexander Hochenburger","Österreich","Wien","Film / Video",4500,30,10,0,2,2,53,8,2,"11.10.12 19:54","16.11.12","http://www.startnext.de/die-dunkle-thriller-serie"
187,"FLORIAN FEUERWEHRMANN Kinderbuch","Sven Schnell","Deutschland","Stuttgart","Literatur",7500,860,500,0,14,13,87,5,11,"11.10.12 12:31","16.11.12","http://www.startnext.de/florian-feuerwehrmann"
188,"Revenant Noir - Cinematic Concert","Tobias Schwarzbauer","Österreich","Klagenfurt am Wörthersee","Musik",3500,140,25,0,11,11,68,11,7,"08.10.12 11:58","16.11.12","http://www.startnext.de/revenantnoir"
189,"Africa Fashion Day Berlin","Beatrace Oola","Deutschland","Berlin","Mode",8500,241,26,0,14,14,122,20,12,"28.09.12 15:09","15.11.12","http://www.startnext.de/afdb"
190,"&#1082,&#1086,&#1078,&#1072, - HARDCOPY [CD-Herstellung]","Mirco Dalos","Deutschland","Rastede","Musik",2000,215,35,0,8,8,27,1,8,"11.09.12 14:10","14.11.12","http://www.startnext.de/hardcopy"
191,"'Irgendwie Anders' | Multimediales TanzTheater für Menschen ab 4","disdanceproject André Lehnert","Deutschland","Köln","Film / Video",6500,365,80,0,6,6,124,10,5,"04.10.12 14:25","13.11.12","http://www.startnext.de/irgendwie-anders"
192,"Taschenkonzerte","Michael Fiebrig","Deutschland","Nürnberg","Musik",5000,136,6,0,4,4,64,6,7,"16.08.12 14:59","13.11.12","http://www.startnext.de/taschenkonzerte"
193,"MOViEMENT","Florian Wegerer","Deutschland","München","Film / Video",3333,892,175,98,31,31,66,28,9,"07.09.12 15:45","13.11.12","http://www.startnext.de/moviement-net"
194,"'Was hat denn Stille mit Musik zu tun?' - Musikvermittlung in Schulen","Ulrike Neukamm","Deutschland","Köln","Kulturelle Bildung",3000,355,15,150,10,9,69,14,4,"25.09.12 10:13","11.11.12","http://www.startnext.de/stille-und-musik"
195,"MEIN VATER, SEIN VATER UND ICH            ","Filmemacher Jan Schmitt","Deutschland","Wiesbaden","Film / Video",15000,620,20,0,7,7,113,6,4,"13.09.12 11:51","11.11.12","http://www.startnext.de/mein-vater-sein-vater"
196,"Hildegard von Bingen: Virtus et Vitium. Licht. Schatten. Mensch. ","Bettina Gies","Deutschland","Rüdesheim","Kunst",2500,195,0,0,3,3,29,1,16,"21.08.12 13:56","10.11.12","http://www.startnext.de/v-and-v"
197,"7even Styles of Suicide","Pascal Dieckmeyer","Deutschland","Melle","Film / Video",2200,1039,546,0,14,13,44,10,14,"27.08.12 18:03","10.11.12","http://www.startnext.de/7sos"
198,"Lifestylemagazin Spreedarling","Rüdiger Kulig","Deutschland","Berlin","Journalismus",5000,42,5,0,10,10,57,6,3,"27.09.12 17:43","09.11.12","http://www.startnext.de/spreedarling"
199,"MIKROLOGIE DER KRISE","Daniela Schmidtke","Deutschland","Berlin","Kunst",3000,110,60,0,3,3,56,7,5,"01.10.12 17:18","08.11.12","http://www.startnext.de/mikrologie-der-krise"
200,"Blue Voice singt im Rahmen von 'Young Voices' in der O2 World London!","Daniela Steigel","Deutschland","Hamburg","Musik",1000,120,0,0,3,3,31,3,5,"09.08.12 16:07","07.11.12","http://www.startnext.de/blue-voice-kinderchor"
201,"Post-apokalyptischer Kalender 2013 von Divine Design ","Julian Friedauer","Deutschland","Stuttgart","Design",3500,455,5,0,14,14,63,2,2,"12.10.12 13:00","07.11.12","http://www.startnext.de/post-apokalyptischer-kalender-1"
202,"Foto/Essayband: High. Das Potential Marijuanas","Dr. phil. Sebastian Marincolo","Deutschland","Stuttgart","Fotografie",6500,579,10,0,14,13,100,13,9,"06.08.12 13:55","06.11.12","http://www.startnext.de/essay-fotoband-high"
203,"'DER SCHUBERT DER PAMPAS' 100 Jahre CARLOS GUASTAVINO (1912-2000) Hommage","Cecilia Pillado","Deutschland","Berlin","Musik",5500,900,227,0,17,17,93,11,3,"08.08.12 09:39","06.11.12","http://www.startnext.de/guastavino"
204,"Herr Markus & die Veteranen: Betreutes Rocken","Markus Schnurpfeil","Deutschland","Niederkassel","Musik",7500,1180,530,0,6,6,83,6,5,"21.09.12 15:23","06.11.12","http://www.startnext.de/betreutes-rocken"
205,"Amandas Reise","Susa Solero","Deutschland","Gründau","Literatur",7500,275,100,0,8,8,86,29,8,"05.09.12 12:07","05.11.12","http://www.startnext.de/amandasreise"
